individual,group,accuracy
0.005891175952767962,4.211073167163574e-06,[0.3905277  0.32448257 0.40403527]
0.005891175952767962,4.211073167163574e-06,[0.39085546 0.32502044 0.40437436]
0.005891175952767962,4.211073167163574e-06,[0.39115479 0.3258289  0.40508906]
0.005891175952767962,4.211073167163574e-06,[0.39115479 0.3258289  0.40508906]
0.009724871831220467,1.0300523572320671e-05,[0.39151098 0.32609883 0.40505256]
0.005891175952767962,4.211073167163574e-06,[0.39109802 0.32636897 0.4058414 ]
0.005863162245977712,4.171447063219e-06,[0.39109802 0.32636897 0.4058414 ]
0.005863162245977712,4.171447063219e-06,[0.39145383 0.32663934 0.40580448]
0.005863162245977712,4.171447063219e-06,[0.3921665  0.32718075 0.40573076]
0.005863162245977712,4.171447063219e-06,[0.39252336 0.32745178 0.40569395]
0.009709998497454306,1.0333319442325542e-05,[0.39323814 0.32799452 0.40562045]
0.005863162245977712,4.171447063219e-06,[0.39288058 0.32772304 0.40565718]
0.005863162245977712,4.171447063219e-06,[0.39323814 0.32799452 0.40562045]
0.005863162245977712,4.171447063219e-06,[0.39323814 0.32799452 0.40562045]
0.005863162245977712,4.171447063219e-06,[0.39323814 0.32799452 0.40562045]
0.005863162245977712,4.171447063219e-06,[0.39356639 0.32853816 0.40595903]
0.005863162245977712,4.171447063219e-06,[0.39356639 0.32853816 0.40595903]
0.005863162245977712,4.171447063219e-06,[0.3942829  0.32908268 0.40588534]
0.005827682492724147,4.165981629455947e-06,[0.39422288 0.3296281  0.40663619]
0.005820293447304898,4.19957318163346e-06,[0.39458128 0.32990115 0.40659898]
0.005820293447304898,4.19957318163346e-06,[0.39490969 0.33044793 0.40693739]
0.005820293447304898,4.19957318163346e-06,[0.39487937 0.33072165 0.40731336]
0.0058195640806160895,4.136227848220042e-06,[0.39487937 0.33072165 0.40731336]
0.0058195640806160895,4.136227848220042e-06,[0.39484908 0.3309956  0.4076897 ]
0.0058195640806160895,4.136227848220042e-06,[0.39481882 0.33126978 0.40806643]
0.0058195640806160895,4.136227848220042e-06,[0.39517717 0.33154418 0.40802846]
0.005812175035196842,4.2275485028539385e-06,[0.39586411 0.33236875 0.4083291 ]
0.005812175035196842,4.2275485028539385e-06,[0.39622332 0.33264406 0.40829103]
0.006225608917012144,2.6278318959592566e-06,[0.39763197 0.33402404 0.40851495]
0.006225608917012144,2.6278318959592566e-06,[0.39763197 0.33402404 0.40851495]
0.006225608917012144,2.6278318959592566e-06,[0.39760026 0.33430072 0.40889114]
0.006225608917012144,2.6278318959592566e-06,[0.39756859 0.33457763 0.40926772]
0.006225608917012144,2.6278318959592566e-06,[0.39756859 0.33457763 0.40926772]
0.006206800395536709,2.3021614270048473e-06,[0.39756859 0.33457763 0.40926772]
0.006206800395536709,2.3021614270048473e-06,[0.39756859 0.33457763 0.40926772]
0.006206800395536709,2.3021614270048473e-06,[0.39789716 0.33513214 0.40960595]
0.006206800395536709,2.3021614270048473e-06,[0.39786535 0.33540975 0.40998308]
0.006206800395536709,2.3021614270048473e-06,[0.39783358 0.33568758 0.41036059]
0.006206800395536709,2.3021614270048473e-06,[0.39780184 0.33596564 0.41073848]
0.006206800395536709,2.3021614270048473e-06,[0.39777013 0.33624394 0.41111676]
0.006206800395536709,2.3021614270048473e-06,[0.39773845 0.33652246 0.41149542]
0.006206800395536709,2.3021614270048473e-06,[0.39773845 0.33652246 0.41149542]
0.006206800395536709,2.3021614270048473e-06,[0.39806621 0.33708021 0.41183452]
0.006206800395536709,2.3021614270048473e-06,[0.39842597 0.33735943 0.41179461]
