individual,group,accuracy
0.005895945098162586,4.053106639349927e-06,[0.39011618 0.3247514  0.40482255]
0.005895945098162586,4.053106639349927e-06,[0.39044346 0.32528971 0.40516217]
0.005885440927714059,3.822646056807309e-06,[0.39041544 0.32555919 0.40553857]
0.005885440927714059,3.822646056807309e-06,[0.39035948 0.32609883 0.40629252]
0.0063018750975428525,2.217433409671765e-06,[0.39106968 0.32663934 0.40621814]
0.006288495470533753,2.201598566464356e-06,[0.3914253  0.32690994 0.40618102]
0.006288495470533753,2.201598566464356e-06,[0.39178127 0.32718075 0.40614392]
0.006288495470533753,2.201598566464356e-06,[0.39210871 0.32772304 0.40648337]
0.006288495470533753,2.201598566464356e-06,[0.39246519 0.32799452 0.40644614]
0.006288495470533753,2.201598566464356e-06,[0.39279279 0.32853816 0.40678541]
0.006288495470533753,2.201598566464356e-06,[0.39314979 0.32881031 0.40674805]
0.006288495470533753,2.201598566464356e-06,[0.39350713 0.32908268 0.40671073]
0.006288495470533753,2.201598566464356e-06,[0.39386483 0.32935528 0.40667344]
0.006288495470533753,2.201598566464356e-06,[0.39386483 0.32935528 0.40667344]
0.006288495470533753,2.201598566464356e-06,[0.39458128 0.32990115 0.40659898]
0.006457308325801637,3.304818649528009e-06,[0.39526861 0.33072165 0.40690005]
0.006448331415382669,3.4438715628756954e-06,[0.3952381 0.3309956 0.4072758]
0.006448331415382669,3.4438715628756954e-06,[0.39559717 0.33126978 0.40723829]
0.006448331415382669,3.4438715628756954e-06,[0.39559717 0.33126978 0.40723829]
0.006448331415382669,3.4438715628756954e-06,[0.3955665  0.33154418 0.40761421]
0.006448331415382669,3.4438715628756954e-06,[0.3955665  0.33154418 0.40761421]
0.006448331415382669,3.4438715628756954e-06,[0.3955665  0.33154418 0.40761421]
0.006447602048693861,3.38673246989029e-06,[0.39553586 0.33181881 0.40799052]
0.006447602048693861,3.38673246989029e-06,[0.39553586 0.33181881 0.40799052]
0.006447602048693861,3.38673246989029e-06,[0.39589491 0.33209366 0.40795262]
0.006447602048693861,3.38673246989029e-06,[0.39625431 0.33236875 0.40791476]
0.006447602048693861,3.38673246989029e-06,[0.39625431 0.33236875 0.40791476]
0.006447602048693861,3.38673246989029e-06,[0.39622332 0.33264406 0.40829103]
0.011454667205443626,7.892860588886696e-06,[0.39622332 0.33264406 0.40829103]
0.006447602048693861,3.38673246989029e-06,[0.39658288 0.3329196  0.408253  ]
0.006447602048693861,3.38673246989029e-06,[0.3969428  0.33319536 0.40821501]
0.006447602048693861,3.38673246989029e-06,[0.3969428  0.33319536 0.40821501]
0.006447602048693861,3.38673246989029e-06,[0.3969428  0.33319536 0.40821501]
0.006447602048693861,3.38673246989029e-06,[0.39688013 0.33374758 0.40896785]
0.006447602048693861,3.38673246989029e-06,[0.39688013 0.33374758 0.40896785]
0.006447602048693861,3.38673246989029e-06,[0.39724002 0.33402404 0.40892948]
0.010161501687633448,8.169939491655044e-06,[0.39756859 0.33457763 0.40926772]
0.006447602048693861,3.38673246989029e-06,[0.39720854 0.33430072 0.40930626]
0.006447602048693861,3.38673246989029e-06,[0.39717709 0.33457763 0.40968343]
0.006447602048693861,3.38673246989029e-06,[0.39717709 0.33457763 0.40968343]
0.006447602048693861,3.38673246989029e-06,[0.39714567 0.33485477 0.41006098]
0.006447602048693861,3.38673246989029e-06,[0.39750533 0.33513214 0.41002201]
0.006447602048693861,3.38673246989029e-06,[0.39750533 0.33513214 0.41002201]
0.006447602048693861,3.38673246989029e-06,[0.39750533 0.33513214 0.41002201]
0.007546567709783463,3.863147095589896e-06,[0.39822573 0.33540888 0.40994419]
0.007546567709783463,3.863147095589896e-06,[0.3985543  0.33596455 0.41028243]
0.007546567709783463,3.863147095589896e-06,[0.39852217 0.33624273 0.4106599 ]
0.007546567709783463,3.863147095589896e-06,[0.39885057 0.33679978 0.41099831]
0.007502994585239919,3.826389675941541e-06,[0.40029615 0.33707398 0.41084093]
0.007502994585239919,3.826389675941541e-06,[0.40029615 0.33707398 0.41084093]
0.007502994585239919,3.826389675941541e-06,[0.40065844 0.33735274 0.41080169]
0.007502994585239919,3.826389675941541e-06,[0.40065844 0.33735274 0.41080169]
0.007502994585239919,3.826389675941541e-06,[0.40102108 0.33763172 0.41076248]
0.007492643511725439,3.9915324775560346e-06,[0.40138408 0.33762994 0.41072332]
