individual,group,accuracy
0.31281691734455785,2.8992567275305404e-05,0.727
0.31281691734455785,2.8992567275305404e-05,0.728
0.31233034526074827,2.901145492600503e-05,0.729
0.31233034526074827,2.901145492600503e-05,0.732
0.31227835600795234,2.9087459232695546e-05,0.736
0.31227835600795234,2.9087459232695546e-05,0.739
0.31227835600795234,2.9087459232695546e-05,0.74
0.31227835600795234,2.9087459232695546e-05,0.74
0.3121272538384178,2.592994480863072e-05,0.742
0.3121272538384178,2.592994480863072e-05,0.744
0.3121272538384178,2.592994480863072e-05,0.745
0.3121272538384178,2.592994480863072e-05,0.748
0.3121272538384178,2.592994480863072e-05,0.749
0.3121272538384178,2.592994480863072e-05,0.751
0.3121272538384178,2.592994480863072e-05,0.756
0.3121272538384178,2.592994480863072e-05,0.757
0.3117862577048331,2.5949365505601468e-05,0.759
0.3117862577048331,2.5949365505601468e-05,0.759
0.3117862577048331,2.5949365505601468e-05,0.76
0.3116849102271079,2.5920073722074604e-05,0.763
0.3116849102271079,2.5920073722074604e-05,0.765
0.3116849102271079,2.5920073722074604e-05,0.767
0.3116849102271079,2.5920073722074604e-05,0.768
0.3116849102271079,2.5920073722074604e-05,0.77
0.3116849102271079,2.5920073722074604e-05,0.773
0.3116849102271079,2.5920073722074604e-05,0.773
0.3116849102271079,2.5920073722074604e-05,0.776
0.31170820000274446,2.5882957843947947e-05,0.777
0.31170820000274446,2.5882957843947947e-05,0.779
0.31179179444681837,3.115880340812458e-05,0.78
0.31179179444681837,3.115880340812458e-05,0.782
0.31179179444681837,3.115880340812458e-05,0.784
0.31179179444681837,3.115880340812458e-05,0.788
0.31762441064516916,2.1029041570342808e-05,0.792
0.31762441064516916,2.1029041570342808e-05,0.795
0.3171431254169698,1.8538246944395607e-05,0.799
0.31728597944611303,1.8552289966434227e-05,0.8
0.31728597944611303,1.8552289966434227e-05,0.8
0.31728597944611303,1.8552289966434227e-05,0.802
0.31728597944611303,1.8552289966434227e-05,0.803
0.31728597944611303,1.8552289966434227e-05,0.804
0.31728597944611303,1.8552289966434227e-05,0.805
0.31728597944611303,1.8552289966434227e-05,0.806
0.31728597944611303,1.8552289966434227e-05,0.807
0.31728597944611303,1.8552289966434227e-05,0.809
0.31728597944611303,1.8552289966434227e-05,0.812
0.31728597944611303,1.8552289966434227e-05,0.812
0.31728597944611303,1.8552289966434227e-05,0.813
0.31728597944611303,1.8552289966434227e-05,0.814
0.31728597944611303,1.8552289966434227e-05,0.814
0.31757400050566315,2.0529710448678477e-05,0.817
0.31757400050566315,2.0529710448678477e-05,0.819
0.31669969204934,2.6435615791941666e-05,0.821
0.3165542270886779,2.3956532643097793e-05,0.821
0.3165542270886779,2.3956532643097793e-05,0.821
0.3165542270886779,2.3956532643097793e-05,0.823
0.3165542270886779,2.3956532643097793e-05,0.824
0.3165542270886779,2.3956532643097793e-05,0.826
0.3165542270886779,2.3956532643097793e-05,0.828
0.3161785716905969,2.4128151399573464e-05,0.83
0.3161785716905969,2.4128151399573464e-05,0.832
0.3161785716905969,2.4128151399573464e-05,0.835
0.31612679298808416,2.4290449241446702e-05,0.836
0.31612679298808416,2.4290449241446702e-05,0.837
0.31612679298808416,2.4290449241446702e-05,0.838
0.31582695707025427,2.438596755129798e-05,0.839
0.31572620858748196,2.4483900447320516e-05,0.84
0.31572620858748196,2.4483900447320516e-05,0.842
0.31572620858748196,2.4483900447320516e-05,0.842
0.3161961554110304,2.4733101865702998e-05,0.844
0.3144673309533671,3.9215000557377396e-05,0.846
0.3144673309533671,3.9215000557377396e-05,0.846
0.3144673309533671,3.9215000557377396e-05,0.847
0.3144673309533671,3.9215000557377396e-05,0.849
0.31404032549565025,3.933480824974223e-05,0.85
0.31404032549565025,3.933480824974223e-05,0.851
0.31404032549565025,3.933480824974223e-05,0.852
0.31404032549565025,3.933480824974223e-05,0.854
0.31404032549565025,3.933480824974223e-05,0.854
0.31398854679313765,3.961158492625064e-05,0.856
0.31401173129363263,3.947293104608731e-05,0.858
0.31401173129363263,3.947293104608731e-05,0.859
