predicted,actual
0.5439999999999999,0.569
0.35,0.375
0.8109999999999999,0.836
0.201,0.226
0.5439999999999999,0.569
0.0724285714285714,0.07
0.08200000000000002,0.107
0.35,0.375
0.5439999999999999,0.569
-0.01200000000000001,0.013
0.1017142857142857,0.107
0.08199999999999999,0.107
0.8109999999999999,0.836
0.6121428571428572,0.569
0.201,0.226
0.8109999999999999,0.836
0.8109999999999999,0.836
0.8109999999999999,0.836
0.08199999999999999,0.107
0.201,0.226
0.201,0.226
0.08199999999999996,0.107
0.5439999999999999,0.569
0.08199999999999999,0.107
0.201,0.226
0.04500000000000004,0.07
-0.011999999999999955,0.013
0.201,0.226
0.35,0.375
0.8109999999999999,0.836
0.08199999999999996,0.107
-0.011999999999999983,0.013
0.8109999999999999,0.836
0.35,0.375
-0.01200000000000001,0.013
0.1017142857142857,0.107
0.836,0.836
0.1017142857142857,0.07
0.8109999999999999,0.836
0.8109999999999999,0.836
0.5439999999999999,0.569
0.04500000000000001,0.07
0.08199999999999999,0.107
0.8109999999999999,0.836
-0.01200000000000001,0.013
0.35,0.375
0.8109999999999999,0.836
0.35,0.375
0.35,0.375
0.201,0.226
0.08199999999999999,0.107
0.08199999999999999,0.107
0.6121428571428572,0.569
0.08199999999999999,0.107
0.8109999999999999,0.836
-0.01200000000000001,0.013
0.35,0.375
0.5439999999999999,0.569
0.8109999999999999,0.836
0.1017142857142857,0.107
0.35,0.375
0.836,0.836
0.35,0.375
0.5439999999999999,0.569
0.5358571428571428,0.569
0.8109999999999999,0.836
0.5439999999999999,0.569
0.8109999999999999,0.836
0.6121428571428572,0.569
0.201,0.226
0.08199999999999999,0.107
0.8109999999999999,0.836
0.08199999999999999,0.107
0.5439999999999999,0.569
0.3642857142857142,0.375
0.08199999999999996,0.107
0.8109999999999999,0.836
0.8109999999999999,0.836
0.8109999999999999,0.836
0.201,0.226
0.8109999999999999,0.836
0.5844285714285714,0.569
0.08199999999999999,0.107
0.6121428571428572,0.569
0.5439999999999999,0.569
0.3972857142857142,0.375
0.836,0.836
0.569,0.569
-0.011999999999999983,0.013
0.8109999999999999,0.836
0.5439999999999999,0.569
0.201,0.226
0.8109999999999999,0.836
0.08199999999999999,0.107
0.836,0.836
0.2621428571428571,0.226
0.8109999999999999,0.836
0.8109999999999999,0.836
0.6121428571428572,0.569
0.5439999999999999,0.569
0.5439999999999999,0.569
0.08200000000000002,0.107
0.201,0.226
0.35,0.375
0.8109999999999999,0.836
0.5439999999999999,0.569
0.08200000000000002,0.107
0.35,0.375
0.5439999999999999,0.569
0.8109999999999999,0.836
