predicted,actual
0.6884285714285714,0.569
0.7265714285714286,0.375
0.5844285714285714,0.836
0.5522857142857143,0.226
0.49771428571428566,0.569
0.07242857142857143,0.07
0.33671428571428574,0.107
0.49771428571428566,0.375
0.4699999999999999,0.569
0.6225714285714286,0.013
0.10171428571428572,0.107
0.2824285714285714,0.107
0.6121428571428572,0.836
0.6121428571428572,0.569
0.4699999999999999,0.226
0.6121428571428572,0.836
0.4144285714285714,0.836
0.6884285714285714,0.836
0.2337142857142857,0.107
0.6394285714285715,0.226
0.4908571428571428,0.226
0.6452857142857142,0.107
0.6502857142857142,0.569
0.2997142857142857,0.107
0.5522857142857143,0.226
0.6121428571428572,0.07
0.49771428571428566,0.013
0.39728571428571424,0.226
0.529,0.375
0.5844285714285714,0.836
0.5358571428571428,0.107
0.24428571428571427,0.013
0.7265714285714286,0.836
0.6225714285714286,0.375
0.6121428571428572,0.013
0.10171428571428572,0.107
0.836,0.836
0.10171428571428572,0.07
0.7265714285714286,0.836
0.7265714285714286,0.836
0.4698571428571428,0.569
0.22842857142857143,0.07
0.24428571428571427,0.107
0.41414285714285715,0.836
0.7265714285714286,0.013
0.10171428571428572,0.375
0.5567142857142857,0.836
0.6384285714285713,0.375
0.2997142857142857,0.375
0.33671428571428574,0.226
0.1677142857142857,0.107
0.2997142857142857,0.107
0.6121428571428572,0.569
0.2337142857142857,0.107
0.732,0.836
0.36428571428571427,0.013
0.4908571428571428,0.375
0.4699999999999999,0.569
0.7701428571428571,0.836
0.10171428571428572,0.107
0.25485714285714284,0.375
0.836,0.836
0.4698571428571428,0.375
0.43142857142857144,0.569
0.5358571428571428,0.569
0.4802857142857143,0.836
0.4698571428571428,0.569
0.6884285714285714,0.836
0.6121428571428572,0.569
0.6121428571428572,0.226
0.24428571428571427,0.107
0.24628571428571427,0.836
0.3272857142857143,0.107
0.49771428571428566,0.569
0.36428571428571427,0.375
0.41942857142857143,0.107
0.3155714285714285,0.836
0.41942857142857143,0.836
0.7265714285714286,0.836
0.3272857142857143,0.226
0.7265714285714286,0.836
0.5844285714285714,0.569
0.1677142857142857,0.107
0.6121428571428572,0.569
0.19528571428571428,0.569
0.39728571428571424,0.375
0.836,0.836
0.569,0.569
0.24428571428571427,0.013
0.6225714285714286,0.836
0.6607142857142857,0.569
0.4699999999999999,0.226
0.6884285714285714,0.836
0.22842857142857143,0.107
0.836,0.836
0.2621428571428571,0.226
0.7265714285714286,0.836
0.43142857142857144,0.836
0.6121428571428572,0.569
0.7265714285714286,0.569
0.7265714285714286,0.569
0.4144285714285714,0.107
0.3868571428571429,0.226
0.6121428571428572,0.375
0.5844285714285714,0.836
0.1677142857142857,0.569
0.4698571428571428,0.107
0.4908571428571428,0.375
0.323,0.569
0.33671428571428574,0.836
0.174,0.107
0.4145714285714286,0.569
0.4908571428571428,0.569
0.6607142857142857,0.836
0.5358571428571428,0.569
0.6121428571428572,0.226
0.7265714285714286,0.836
0.4699999999999999,0.569
0.732,0.569
0.7042857142857143,0.836
0.7265714285714286,0.569
0.4698571428571428,0.836
0.7265714285714286,0.836
0.4145714285714286,0.569
0.6121428571428572,0.375
0.7265714285714286,0.836
0.49771428571428566,0.569
0.7265714285714286,0.836
0.7265714285714286,0.836
0.4908571428571428,0.375
0.7265714285714286,0.836
0.2337142857142857,0.569
0.6121428571428572,0.836
0.49771428571428566,0.569
0.24428571428571427,0.375
0.09971428571428571,0.013
0.7265714285714286,0.375
0.5462857142857143,0.375
0.7265714285714286,0.836
0.7265714285714286,0.836
0.508,0.375
0.43142857142857144,0.375
0.174,0.375
0.7265714285714286,0.836
0.442,0.107
0.6884285714285714,0.569
0.6884285714285714,0.569
0.7265714285714286,0.836
0.7265714285714286,0.836
0.33671428571428574,0.375
0.27199999999999996,0.375
0.6121428571428572,0.569
0.4698571428571428,0.107
0.508,0.569
0.6121428571428572,0.569
0.836,0.569
0.33671428571428574,0.107
0.323,0.375
0.4699999999999999,0.375
0.1677142857142857,0.375
0.6225714285714286,0.836
0.6071428571428571,0.569
0.7265714285714286,0.836
0.7265714285714286,0.836
0.7265714285714286,0.836
0.4145714285714286,0.226
0.6121428571428572,0.836
0.4908571428571428,0.569
0.5948571428571429,0.375
0.41414285714285715,0.836
0.425,0.07
0.2997142857142857,0.569
0.5844285714285714,0.836
0.6884285714285714,0.569
0.7265714285714286,0.375
0.6121428571428572,0.836
0.49771428571428566,0.836
0.7265714285714286,0.569
0.6884285714285714,0.836
