Level
B+
B
A
B-
B+
D
C
B
B+
F
C
C
A
B+
B-
A
A
A
C
B-
B-
C
B+
C
B-
D
F
B-
B
A
C
F
A
B
F
C
A
D
A
A
B+
D
C
A
F
B
A
B
B
B-
C
C
B+
C
A
F
B
B+
A
C
B
A
B
B+
B+
A
B+
A
B+
B-
C
A
C
B+
B
C
A
A
A
B-
A
B+
C
B+
B+
B
A
B+
F
A
B+
B-
A
C
A
B-
A
A
B+
B+
B+
C
B-
B
A
B+
C
B
B+
A
C
B+
B+
A
B+
B-
A
B+
B+
A
B+
A
A
B+
B
A
B+
A
A
B
A
B+
A
B+
B
F
B
B
A
A
B
B
B
A
C
B+
B+
A
A
B
B
B+
C
B+
B+
B+
C
B
B
B
A
B+
A
A
A
B-
A
B+
B
A
D
B+
A
B+
B
A
A
B+
A
B-
B+
B+
C
A
A
B-
B
B
B+
A
C
B
C
B
B
B+
A
B-
B+
A
B-
C
A
B+
B+
B-
A
A
B
B
B
B+
B+
B
B-
A
A
A
B
A
B
A
A
C
C
A
C
B-
F
B
C
B
B-
B-
C
B
B
B
C
B+
A
B
B
B
A
F
A
C
B+
B-
C
C
B
A
A
B
B+
B+
A
B
B+
B
A
A
A
B
B
B+
B
B
C
B+
B
B+
A
B+
B+
B-
A
C
C
B+
B-
B+
B
B-
C
C
B
D
B
C
C
A
B-
C
F
B-
F
C
B+
B-
C
D
C
C
B-
B-
B+
B+
B-
A
B-
B
A
B
A
B
B-
B
B-
B
B-
C
A
C
B+
A
B
B+
A
B+
B-
A
A
A
B-
B-
A
B+
B-
B
B
A
A
B-
B
B+
B+
A
A
D
B+
B
B+
B
B+
B
C
B+
B
B-
B+
B
B+
B+
B
B+
B+
C
C
C
B
B-
C
B+
C
C
B-
B
B-
B
B
B-
C
B
A
A
B+
B+
D
B-
A
A
B
A
F
C
C
A
B
D
C
B+
A
B+
B
B+
B-
B-
B-
A
A
A
A
A
A
B-
A
B
B-
B+
B+
A
B
B
B-
A
B+
B+
A
B+
B+
A
A
B-
B-
A
B-
A
B+
C
A
A
B+
A
A
A
B+
A
B+
A
B
B+
A
A
A
A
A
A
C
A
B+
A
A
A
A
A
A
B-
B-
B+
A
A
A
B+
B
B-
A
B+
A
B+
A
A
A
A
A
A
B
B
A
C
A
A
A
C
B+
A
A
A
A
A
B
A
A
A
B+
A
B
B+
A
B
B
B+
B-
B
B+
A
B
A
B
B
C
A
A
C
A
B
B+
A
A
F
A
A
A
A
A
A
A
B
A
B+
A
A
B-
