calibration_prediction,origin,calibration_true,individual_f
3.442857142857143,3.442857142857143,3.5,3.442857142857143
3.103954081632653,3.4928571428571433,3.15,3.103954081632653
3.803954081632653,3.2928571428571423,3.85,3.803954081632653
2.803954081632653,3.207142857142857,2.85,2.803954081632653
3.453954081632653,3.192857142857143,3.5,3.453954081632653
1.4000000000000001,1.4000000000000001,1.35,1.4000000000000001
2.1539540816326532,3.014285714285714,2.2,2.1539540816326532
3.192857142857143,3.192857142857143,3.15,3.192857142857143
3.453954081632653,3.142857142857143,3.5,3.453954081632653
-0.04604591836734695,3.3428571428571425,0.0,-0.04604591836734695
2.1539540816326532,2.0785714285714287,2.2,2.1539540816326532
2.1539540816326532,2.585714285714286,2.2,2.1539540816326532
3.803954081632653,3.3428571428571425,3.85,3.803954081632653
3.453954081632653,3.3428571428571425,3.5,3.453954081632653
2.803954081632653,3.142857142857143,2.85,2.803954081632653
3.803954081632653,3.3428571428571425,3.85,3.803954081632653
3.803954081632653,2.957142857142857,3.85,3.803954081632653
3.803954081632653,3.442857142857143,3.85,3.803954081632653
2.1539540816326532,2.4499999999999997,2.2,2.1539540816326532
2.803954081632653,3.3500000000000005,2.85,2.803954081632653
2.803954081632653,3.142857142857143,2.85,2.803954081632653
2.1539540816326532,3.6,2.2,2.1539540816326532
3.453954081632653,3.392857142857143,3.5,3.453954081632653
2.1539540816326532,2.6357142857142857,2.2,2.1539540816326532
2.803954081632653,3.207142857142857,2.85,2.803954081632653
1.3039540816326531,3.3428571428571425,1.35,1.3039540816326531
-0.04604591836734695,3.192857142857143,0.0,-0.04604591836734695
2.803954081632653,2.992857142857143,2.85,2.803954081632653
3.192857142857143,3.192857142857143,3.15,3.192857142857143
3.803954081632653,3.2928571428571423,3.85,3.803954081632653
2.1539540816326532,3.2428571428571433,2.2,2.1539540816326532
-0.04604591836734695,2.5357142857142856,0.0,-0.04604591836734695
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.103954081632653,3.3428571428571425,3.15,3.103954081632653
-0.04604591836734695,3.3428571428571425,0.0,-0.04604591836734695
2.1539540816326532,2.0785714285714287,2.2,2.1539540816326532
3.85,3.85,3.85,3.85
1.3039540816326531,2.0785714285714287,1.35,1.3039540816326531
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.453954081632653,3.057142857142857,3.5,3.453954081632653
1.3039540816326531,2.3285714285714287,1.35,1.3039540816326531
2.1539540816326532,2.5357142857142856,2.2,2.1539540816326532
3.803954081632653,2.785714285714286,3.85,3.803954081632653
-0.04604591836734695,3.4928571428571433,0.0,-0.04604591836734695
3.103954081632653,2.0785714285714287,3.15,3.103954081632653
3.803954081632653,3.242857142857143,3.85,3.803954081632653
3.103954081632653,3.5500000000000003,3.15,3.103954081632653
3.103954081632653,2.6357142857142857,3.15,3.103954081632653
2.803954081632653,3.014285714285714,2.85,2.803954081632653
2.2642857142857142,2.2642857142857142,2.2,2.2642857142857142
2.1539540816326532,2.6357142857142857,2.2,2.1539540816326532
3.453954081632653,3.3428571428571425,3.5,3.453954081632653
2.1539540816326532,2.4499999999999997,2.2,2.1539540816326532
3.6999999999999997,3.6999999999999997,3.85,3.6999999999999997
-0.04604591836734695,2.9785714285714286,0.0,-0.04604591836734695
3.142857142857143,3.142857142857143,3.15,3.142857142857143
3.453954081632653,3.142857142857143,3.5,3.453954081632653
3.75,3.75,3.85,3.75
2.1539540816326532,2.0785714285714287,2.2,2.1539540816326532
3.103954081632653,2.6214285714285714,3.15,3.103954081632653
3.85,3.85,3.85,3.85
3.103954081632653,3.057142857142857,3.15,3.103954081632653
3.453954081632653,3.0500000000000003,3.5,3.453954081632653
3.453954081632653,3.2428571428571433,3.5,3.453954081632653
3.803954081632653,3.057142857142857,3.85,3.803954081632653
3.453954081632653,3.057142857142857,3.5,3.453954081632653
3.803954081632653,3.442857142857143,3.85,3.803954081632653
3.453954081632653,3.3428571428571425,3.5,3.453954081632653
2.803954081632653,3.3428571428571425,2.85,2.803954081632653
2.1539540816326532,2.5357142857142856,2.2,2.1539540816326532
3.803954081632653,2.7214285714285715,3.85,3.803954081632653
2.1539540816326532,2.8142857142857145,2.2,2.1539540816326532
3.453954081632653,3.192857142857143,3.5,3.453954081632653
3.103954081632653,2.9785714285714286,3.15,3.103954081632653
2.1539540816326532,2.9071428571428575,2.2,2.1539540816326532
3.803954081632653,2.842857142857143,3.85,3.803954081632653
3.803954081632653,2.9071428571428575,3.85,3.803954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
2.8142857142857145,2.8142857142857145,2.85,2.8142857142857145
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.453954081632653,3.2928571428571423,3.5,3.453954081632653
2.2642857142857142,2.2642857142857142,2.2,2.2642857142857142
3.453954081632653,3.3428571428571425,3.5,3.453954081632653
3.453954081632653,2.442857142857143,3.5,3.453954081632653
3.103954081632653,2.992857142857143,3.15,3.103954081632653
3.85,3.85,3.85,3.85
3.5,3.5,3.5,3.5
-0.04604591836734695,2.5357142857142856,0.0,-0.04604591836734695
3.803954081632653,3.3428571428571425,3.85,3.803954081632653
3.453954081632653,3.392857142857143,3.5,3.453954081632653
2.803954081632653,3.142857142857143,2.85,2.803954081632653
3.803954081632653,3.442857142857143,3.85,3.803954081632653
2.1539540816326532,2.3285714285714287,2.2,2.1539540816326532
3.85,3.85,3.85,3.85
2.803954081632653,2.7142857142857144,2.85,2.803954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.803954081632653,3.0500000000000003,3.85,3.803954081632653
3.453954081632653,3.3428571428571425,3.5,3.453954081632653
3.4928571428571433,3.4928571428571433,3.5,3.4928571428571433
3.4928571428571433,3.4928571428571433,3.5,3.4928571428571433
2.1539540816326532,2.957142857142857,2.2,2.1539540816326532
2.803954081632653,2.992857142857143,2.85,2.803954081632653
3.103954081632653,3.3428571428571425,3.15,3.103954081632653
3.803954081632653,3.2928571428571423,3.85,3.803954081632653
3.453954081632653,2.2642857142857142,3.5,3.453954081632653
2.1539540816326532,3.057142857142857,2.2,2.1539540816326532
3.142857142857143,3.142857142857143,3.15,3.142857142857143
3.453954081632653,2.8642857142857143,3.5,3.453954081632653
3.803954081632653,3.014285714285714,3.85,3.803954081632653
2.1539540816326532,2.4,2.2,2.1539540816326532
3.453954081632653,3.0428571428571423,3.5,3.453954081632653
3.453954081632653,3.142857142857143,3.5,3.453954081632653
3.803954081632653,3.392857142857143,3.85,3.803954081632653
3.453954081632653,3.2428571428571433,3.5,3.453954081632653
2.803954081632653,3.3428571428571425,2.85,2.803954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.453954081632653,3.142857142857143,3.5,3.453954081632653
3.6999999999999997,3.6999999999999997,3.5,3.6999999999999997
3.803954081632653,3.65,3.85,3.803954081632653
3.4928571428571433,3.4928571428571433,3.5,3.4928571428571433
3.803954081632653,3.057142857142857,3.85,3.803954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.453954081632653,3.0428571428571423,3.5,3.453954081632653
3.103954081632653,3.3428571428571425,3.15,3.103954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.453954081632653,3.192857142857143,3.5,3.453954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.142857142857143,3.142857142857143,3.15,3.142857142857143
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.453954081632653,2.4499999999999997,3.5,3.453954081632653
3.803954081632653,3.3428571428571425,3.85,3.803954081632653
3.453954081632653,3.192857142857143,3.5,3.453954081632653
3.103954081632653,2.5357142857142856,3.15,3.103954081632653
-0.04604591836734695,1.2714285714285716,0.0,-0.04604591836734695
3.103954081632653,3.4928571428571433,3.15,3.103954081632653
3.103954081632653,3.242857142857143,3.15,3.103954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
3.803954081632653,3.4928571428571433,3.85,3.803954081632653
